,Germany,Finland,Sweden,Spain,Belgium,Croatia,Switzerland,Austria,Israel,Georgia,Greece,North Macedonia,Norway,Romania,Estonia,San Marino,Belarus,Iceland,Lithuania,Ireland,Luxembourg,Monaco,Armenia,Portugal,Andorra,Latvia,Ukraine,Hungary,Liechtenstein,Poland,Bosnia and Herzegovina,Slovenia,Serbia,Slovakia,Malta,Bulgaria,Albania,Cyprus,Holy See,France,France,France,France,France,France,France,France,France,Denmark,Denmark,Denmark,Czechia,Moldova,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,Turkey,Kosovo,Netherlands,Netherlands,Netherlands,Netherlands,Montenegro,Greenland,Guernsey,Jersey
08-03,18.0,1.0,0.0,30.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09-03,18.0,1.0,1.0,32.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-03,18.0,1.0,1.0,32.0,1.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-03,25.0,1.0,1.0,183.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-03,25.0,1.0,1.0,183.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-03,46.0,1.0,1.0,193.0,1.0,1.0,4.0,6.0,4.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-03,46.0,1.0,1.0,517.0,1.0,1.0,4.0,6.0,4.0,0.0,8.0,1.0,1.0,9.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-03,46.0,10.0,1.0,517.0,1.0,1.0,4.0,6.0,4.0,0.0,8.0,1.0,1.0,9.0,1.0,4.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16-03,67.0,10.0,1.0,530.0,1.0,2.0,4.0,6.0,4.0,1.0,8.0,1.0,1.0,9.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17-03,67.0,10.0,1.0,1028.0,1.0,4.0,4.0,1.0,11.0,1.0,8.0,1.0,1.0,16.0,1.0,4.0,3.0,0.0,1.0,5.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,13.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-03,105.0,10.0,1.0,1081.0,31.0,4.0,15.0,9.0,11.0,1.0,8.0,1.0,1.0,19.0,1.0,4.0,5.0,5.0,1.0,5.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,13.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19-03,113.0,10.0,16.0,1107.0,31.0,5.0,15.0,9.0,11.0,1.0,8.0,1.0,1.0,25.0,1.0,4.0,5.0,5.0,1.0,5.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20-03,180.0,10.0,16.0,1588.0,1.0,5.0,15.0,9.0,14.0,1.0,19.0,1.0,1.0,25.0,1.0,4.0,5.0,5.0,1.0,5.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21-03,233.0,10.0,16.0,2125.0,263.0,5.0,15.0,9.0,36.0,1.0,19.0,1.0,1.0,52.0,1.0,4.0,15.0,22.0,1.0,5.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,7.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,2.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22-03,266.0,10.0,16.0,2575.0,263.0,5.0,131.0,9.0,37.0,3.0,19.0,1.0,1.0,64.0,2.0,4.0,15.0,36.0,1.0,5.0,6.0,1.0,2.0,5.0,1.0,1.0,1.0,16.0,0.0,1.0,2.0,0.0,1.0,7.0,2.0,3.0,2.0,3.0,0.0,2200.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,2.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23-03,266.0,10.0,16.0,2575.0,263.0,5.0,131.0,9.0,37.0,3.0,19.0,1.0,1.0,64.0,2.0,4.0,15.0,36.0,1.0,5.0,6.0,1.0,2.0,5.0,1.0,1.0,1.0,16.0,0.0,1.0,2.0,0.0,1.0,7.0,2.0,3.0,2.0,3.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,2.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
